ID,Suburb
467,FRAAIGELEGEN
146,FRESNAYE
566,GANTS PARK
362,GARDEN VILLAGE
649,GARDENS
353,GATESVILLE
248,GAYLEE
275,GEORGE PARK
727,GERSHAM
471,GLENCAIRN
171,GLENHAVEN
153,GLENLILY
149,GLENWOOD
282,GOEDE HOOP
302,GOEDEHOOP
105,GOEDEMOED
618,GOLDEN ACRE
74,GOLDEN HILL EXT 1
108,GOLIATH ESTATE
47,GOOD HOPE
53,GOODRAIL
152,GOODWOOD  EXT 1
427,GOODWOOD ESTATE
300,GORDON HEIGHTS
588,GORDONS BAY
578,GORDONS BAY EXT 12
574,GORDONS BAY VILLAGE
583,GORDONS STRAND ESTATE
109,GRAANENDAL
647,GRACELAND
670,GRASSY PARK
472,GREEN POINT
42,GREENFIELDS
636,GREENLANDS
761,GREENVILLE GARDEN CITY
572,GREENWAYS
27,GROENVALLEI
510,GUGULETU
392,HAASENDAL
367,HAGLEY
425,HANOVER PARK
64,HAPPY VALLEY
348,HARARE
587,HARBOUR ISLAND
687,HARDEKRAALTJIE
770,HARMONY VILLAGE
220,HATTON
161,HAZENDAL
307,HEARTLAND BEACH ROAD PRECINCT
308,HEARTLAND HISTORIC PRECINCT
350,HEATHFIELD
23,HEEMSTEDE
430,HEIDEVELD
260,HELDERBERG ESTATE
731,HELDERBERG INDUSTRIAL PARK
41,HELDERBERG PARK
771,HELDERBERG RURAL
321,HELDERBERG VILLAGE
317,HELDERRANT
508,HELDERVUE
360,HELDERZICHT
466,HELENA HEIGHTS
702,HERITAGE PARK
277,HIGH RIDING
729,HIGHBURY
730,HIGHBURY PARK
440,HIGHGATE
241,HIGHLANDS VILLAGE
22,HIGHVELD
252,HILLCREST HEIGHTS
386,HINDLE PARK
557,HOHEIZEN
488,HOOGSTEDE
751,HOUT BAY
281,HUMANSHOF
293,HUNTERS CREEK
1,HYDE PARK
765,IKWEZI PARK
627,ILITHA PARK
337,ILLAIRE
509,JACARANDAS
775,JACOBSDAL SMALLHOLDINGS
310,JACQUES HILL
209,JAGTERSHOF
383,JAN KRIEL
448,JOE SLOVO PARK
262,JONKERS HOOGTE
298,JOOSTENBERGVLAKTE SMALLHOLDINGS
26,JOUBERTPARK
60,KAAPSIG
120,KAAPZICHT
283,KALAMUNDA
717,KALK BAY
517,KALKFONTEIN
163,KALKSTEENFONTEIN
679,KANONBERG
673,KELDERHOF
749,KEMPENVILLE
713,KENILWORTH
525,KENRIDGE
568,KENSINGTON
395,KEWTOWN
625,KHAYA
10,KHAYELITSHA
693,KILLARNEY GARDENS
213,KING DAVID COUNTRY CLUB
545,KINGSTON
700,KIRSTENHOF
176,KLEIN ZEVENWACHT
132,KLEINBEGIN
115,KLEINBOSCH
551,KLEINBRON
602,KLEINVLEI TOWN
180,KLIPDAM
91,KLIPHEUWEL HOUSING SCHEME
155,KLIPKOP
16,KLOOFZICHT
628,KOMMETJIE
482,KRAAIFONTEIN
57,KRAAIFONTEIN EAST
299,KRAAIFONTEIN INDUSTRIA
417,KUILS RIVER COMMON
69,KUILS RIVER SPORTS GROUNDS
391,KUILSRIVIER GOLF COURSE
51,KUILSRIVIER INDUSTRIA
728,KUILSRIVIER SOUTH SMALLHOLDINGS
259,KUYASA
719,LA CONCORDE
339,LA MONTAGNE
536,LA ROCHELLE
318,LA SANDRA
640,LABIANCE
330,LAGOON BEACH
511,LAKESIDE
354,LAND EN ZEEZICHT
61,LANGA
595,LANGEBERG HOOGTE
550,LANGEBERG RIDGE
412,LANGEBERG VILLAGE
756,LANSDOWNE
235,LAVENDER HILL
594,LEIDEN
764,LENTEGEUR
747,LEONSDALE
179,LETRU
211,LILLYDALE
400,LLANDUDNO
556,LOEVENSTEIN
286,LONGDOWN ESTATE
740,LOTUS RIVER
207,LOUCHARMANTE
168,LOUMAR
306,LOURENSIA PARK
441,LWANDLE
468,LYNN'S VIEW
399,MABILLE PARK
675,MACASSAR
328,MACASSAR BEACH
479,MACASSAR VILLAGE
716,MAITLAND
474,MAITLAND GARDEN VILLAGE
6,MALIBU VILLAGE
309,MALL INTERCHANGE
365,MALL MOTOR CITY
363,MALL TRIANGLE
93,MALMESBURY FARMS
390,MAMRE
648,MANDELA PARK
431,MANENBERG
12,MANSFIELD INDUSTRIA
516,MARCONI BEAM
398,MARINDA PARK
619,MARTINVILLE
403,MARVINPARK
496,MATROOSFONTEIN
603,MEADOWRIDGE
641,MELKBOSCH STRAND
338,METRO
169,MEYERHOF
645,MFULENI
92,MIKPUNT
178,MIKRO PARK
772,MILNERTON
332,MILNERTON RIDGE
597,MISSION GROUNDS
291,MISTY CLIFFS
239,MITCHELLS PLAIN CBD
498,MODDERDAM
655,MONTAGUE
515,MONTAGUE GARDENS
86,MONTANA
21,MONTANA EXTENSION
267,MONTCHERE
264,MONTE SERENO
119,MONTE VISTA
87,MONTEVIDEO
258,MONWABISI
632,MORGAN INDUSTRIA
767,MORGANS VILLAGE
138,MORGENSTER
555,MORGENSTER HEIGHTS
279,MORNINGSIDE
100,MORNINGSTAR
79,MOUILLE POINT
582,MOUNTAINSIDE
